Function,Iterations,Best Solution,Best Fitness,Execution Time (s),Population Size,Generations,Step Size,Domain
rastrigin,800,"[-0.9242, -0.0186]",2.0367,0.0185,40,80,5.4,"[-5.012, 0.9106]"
rastrigin,300,"[-0.0038, -0.0055]",0.0088,0.0079,50,30,1.3,"[-1.5334, 8.2702]"
rastrigin,200,"[-0.1255, -0.9593]",4.2127,0.0025,20,20,7.9,"[-4.3556, 1.8469]"
rastrigin,300,"[0.9964, 0.033]",1.211,0.004,20,30,7.2,"[-3.5845, 1.1645]"
rastrigin,10,"[1.9397, -0.2602]",15.1821,0.0,30,1,9.2,"[-7.7986, 8.3629]"
rastrigin,10,"[0.9159, 2.047]",6.8255,0.001,30,1,3.7,"[-4.9365, 9.4102]"
rastrigin,1000,"[-0.9655, -0.0334]",1.3865,0.0218,40,100,7.6,"[-1.8164, 4.3141]"
rastrigin,50,"[-1.0599, -1.0123]",2.8778,0.001,30,5,0.4,"[-9.7374, 3.1598]"
rastrigin,50,"[0.088, -0.998]",2.4952,0.001,30,5,2.2,"[-9.5586, 8.4528]"
rastrigin,900,"[-0.9269, 0.097]",3.7055,0.0074,10,90,7.6,"[-5.8239, 2.2326]"
rastrigin,10,"[-0.0938, 1.136]",6.4224,0.0,30,1,1.6,"[-2.6288, 4.7951]"
rastrigin,700,"[-0.0488, 2.0183]",4.608,0.0046,10,70,7.0,"[-2.6932, 8.0993]"
rastrigin,10,"[-0.9672, 0.7051]",14.4298,0.0005,40,1,5.2,"[-6.4312, 6.6257]"
rastrigin,10,"[-2.8483, 1.9484]",16.6411,0.0,30,1,0.3,"[-8.0722, 6.3551]"
rastrigin,800,"[-0.0131, -0.0277]",0.1858,0.0171,40,80,1.1,"[-7.9912, 4.9123]"
rastrigin,100,"[-1.9246, -0.071]",5.789,0.001,20,10,6.6,"[-6.9862, 5.4892]"
rastrigin,500,"[-1.0121, -0.9426]",2.5842,0.0059,20,50,7.6,"[-5.791, 7.8116]"
rastrigin,100,"[0.9241, -0.9319]",3.738,0.002,30,10,2.3,"[-8.9284, 2.3335]"
rastrigin,300,"[-1.092, -0.9597]",4.0578,0.0036,20,30,7.3,"[-1.6347, 8.2705]"
rastrigin,600,"[-0.9374, -1.0518]",3.2727,0.007,20,60,8.7,"[-5.0054, 2.3751]"
rastrigin,800,"[-0.0398, -0.9461]",1.7758,0.013,30,80,9.0,"[-4.0575, 7.0592]"
rastrigin,300,"[1.9919, 1.0024]",4.9866,0.002,10,30,1.4,"[-0.6475, 9.9204]"
rastrigin,300,"[-0.9728, 1.0151]",2.1676,0.0079,50,30,0.7,"[-8.5088, 1.8213]"
rastrigin,700,"[0.0611, -0.035]",0.9737,0.0085,20,70,1.4,"[-9.5883, 7.6359]"
rastrigin,700,"[-0.0445, -0.0185]",0.4585,0.0187,50,70,6.4,"[-6.7672, 5.0858]"
rastrigin,400,"[0.9461, 1.0348]",2.7727,0.0067,30,40,3.6,"[-2.6254, 9.619]"
rastrigin,100,"[-0.1503, 0.0699]",5.1141,0.002,30,10,7.0,"[-6.4319, 8.9]"
rastrigin,500,"[0.0417, -0.948]",1.7697,0.003,10,50,8.1,"[-8.9048, 1.3159]"
rastrigin,700,"[-0.053, 0.8474]",5.5255,0.0045,10,70,9.7,"[-8.3603, 5.3706]"
rastrigin,100,"[-1.1097, -0.9019]",6.1679,0.003,50,10,8.4,"[-6.1363, 5.7512]"
rastrigin,400,"[-0.996, 0.8812]",4.4308,0.007,30,40,9.2,"[-9.2428, 0.7114]"
rastrigin,500,"[0.951, -0.9115]",3.7135,0.004,10,50,7.7,"[-6.5638, 5.9335]"
rastrigin,800,"[-0.0062, -0.0131]",0.0413,0.0174,40,80,1.3,"[-0.0977, 0.0044]"
rastrigin,300,"[-0.9754, 0.9092]",3.4815,0.0046,30,30,3.6,"[-1.0687, 8.2762]"
rastrigin,1000,"[0.0352, -0.0224]",0.3442,0.0111,20,100,9.4,"[-0.0516, 1.9418]"
rastrigin,200,"[-0.0894, -1.995]",5.5294,0.0027,20,20,9.4,"[-3.2986, 1.9336]"
rastrigin,50,"[1.8816, 0.9985]",7.1806,0.001,30,5,5.2,"[-6.2003, 5.0741]"
rastrigin,100,"[0.0749, -0.0172]",1.1516,0.002,30,10,5.2,"[-3.7744, 0.9027]"
rastrigin,700,"[-1.0186, -0.0709]",2.0862,0.0042,10,70,3.0,"[-8.162, 4.2175]"
rastrigin,1000,"[0.9647, -0.0374]",1.4516,0.021,40,100,4.3,"[-7.7343, 2.185]"
rastrigin,300,"[0.9681, -0.003]",1.1391,0.005,30,30,3.3,"[-7.9904, 7.8075]"
rastrigin,400,"[0.0016, -0.9893]",1.0018,0.0068,30,40,0.5,"[-3.3509, 3.3578]"
rastrigin,900,"[-0.0831, -1.045]",2.8267,0.0101,20,90,5.0,"[-4.268, 1.2381]"
rastrigin,600,"[-0.0199, -0.9849]",1.0933,0.0064,20,60,0.5,"[-9.9934, 0.6454]"
rastrigin,500,"[0.9857, 1.0439]",2.4788,0.0106,40,50,8.3,"[-4.5094, 4.9348]"
rastrigin,400,"[0.1079, -0.999]",3.2225,0.0025,10,40,8.8,"[-9.0505, 0.9977]"
rastrigin,900,"[1.0611, 1.0379]",3.2134,0.02,40,90,8.6,"[-0.4173, 9.6698]"
rastrigin,1000,"[0.0756, 0.9755]",2.1822,0.0271,50,100,9.3,"[-9.6629, 5.7383]"
rastrigin,900,"[0.0314, -0.9187]",2.315,0.0065,10,90,5.2,"[-3.9455, 2.9724]"
rastrigin,800,"[0.953, 0.0201]",1.4214,0.0167,40,80,5.3,"[-5.7364, 8.3976]"
rastrigin,1000,"[0.0003, -0.0173]",0.0596,0.0169,30,100,1.7,"[-2.1617, 1.4697]"
rastrigin,700,"[0.0666, 0.0826]",2.1892,0.0046,10,70,3.4,"[-4.2741, 1.5867]"
rastrigin,1000,"[-0.046, -1.0061]",1.4361,0.0265,50,100,4.8,"[-9.7783, 3.0418]"
rastrigin,300,"[0.0033, 0.0178]",0.0647,0.009,50,30,2.0,"[-8.4252, 5.0323]"
rastrigin,900,"[0.0025, 0.0201]",0.0811,0.0057,10,90,4.7,"[-2.5538, 6.2496]"
rastrigin,900,"[0.9928, 0.0024]",0.997,0.0243,50,90,0.3,"[-3.4675, 9.8957]"
rastrigin,300,"[1.0319, -0.0203]",1.3463,0.005,30,30,1.6,"[-8.2458, 8.0066]"
rastrigin,100,"[0.9653, 1.078]",3.5067,0.0017,20,10,2.5,"[-4.7565, 4.9726]"
rastrigin,700,"[0.0508, 0.0422]",0.8602,0.0121,30,70,5.4,"[-8.5427, 1.2892]"
rastrigin,50,"[1.0623, 0.1378]",5.4238,0.0006,30,5,5.8,"[-3.7494, 1.4288]"
rastrigin,200,"[1.8614, -0.0905]",8.6064,0.002,20,20,9.7,"[-3.4166, 8.6068]"
rastrigin,500,"[-1.0045, 0.0083]",1.0267,0.0137,50,50,2.0,"[-3.3706, 1.0171]"
rastrigin,600,"[0.0709, 1.0071]",2.0063,0.0156,50,60,6.3,"[-6.987, 2.7913]"
rastrigin,600,"[1.0747, -1.0131]",3.2972,0.0163,50,60,9.5,"[-9.2255, 2.6656]"
rastrigin,500,"[-0.0649, -0.0201]",0.904,0.0109,40,50,4.8,"[-4.5992, 9.5933]"
rastrigin,1000,"[-0.0072, 0.007]",0.0202,0.0219,40,100,2.8,"[-1.5172, 6.0947]"
rastrigin,200,"[1.0681, 1.1181]",5.9209,0.002,10,20,8.9,"[-1.7216, 2.1707]"
rastrigin,500,"[-0.1401, -0.0321]",3.8546,0.0076,30,50,7.0,"[-6.2362, 7.4283]"
rastrigin,1000,"[0.9251, 0.9967]",2.9378,0.007,10,100,5.4,"[-3.8872, 9.4251]"
rastrigin,800,"[-0.0266, -0.0718]",1.1448,0.0289,50,80,1.8,"[-6.9588, 8.4949]"
rastrigin,700,"[-1.1359, 2.0293]",9.0094,0.0039,10,70,8.5,"[-2.6982, 3.6608]"
rastrigin,100,"[-1.8882, -0.8706]",9.8164,0.002,40,10,8.9,"[-6.9923, 9.944]"
rastrigin,300,"[-2.0482, 1.0895]",7.3776,0.004,30,30,7.1,"[-2.9073, 5.9666]"
rastrigin,500,"[1.0224, -0.0034]",1.1467,0.014,50,50,3.4,"[-9.1027, 4.0792]"
rastrigin,200,"[0.0138, 0.0071]",0.048,0.005,40,20,1.2,"[-6.6072, 0.0404]"
rastrigin,500,"[0.0018, -0.0605]",0.718,0.0108,40,50,5.1,"[-5.8166, 1.3225]"
rastrigin,700,"[0.0288, 1.0292]",1.3912,0.0115,30,70,0.7,"[-7.7442, 3.1901]"
rastrigin,400,"[-0.0271, 0.04]",0.4612,0.0042,20,40,1.8,"[-9.7751, 6.2306]"
rastrigin,800,"[1.0468, 0.0985]",3.3886,0.01,20,80,10.0,"[-3.1934, 4.5666]"
rastrigin,500,"[-1.0747, -0.9841]",3.2541,0.0086,30,50,6.8,"[-1.104, 4.8354]"
rastrigin,10,"[4.2782, 2.7325]",48.6318,0.001,10,1,1.0,"[-1.1013, 9.9355]"
rastrigin,600,"[-0.0311, 0.9541]",1.5153,0.0135,40,60,9.9,"[-3.0673, 9.4986]"
rastrigin,900,"[-1.0251, -0.0039]",1.1777,0.0241,50,90,0.8,"[-2.0803, 1.9347]"
rastrigin,1000,"[-0.9979, 0.0201]",1.0769,0.0226,40,100,7.0,"[-5.6555, 6.8776]"
rastrigin,200,"[0.0116, 1.0755]",2.2891,0.004,30,20,3.1,"[-2.2954, 2.0053]"
rastrigin,100,"[0.0774, -0.0905]",2.7484,0.0026,40,10,8.0,"[-8.323, 3.6363]"
rastrigin,1000,"[-0.0327, 0.0217]",0.3052,0.0159,30,100,1.4,"[-2.5898, 8.6586]"
rastrigin,400,"[0.9854, -0.0324]",1.2208,0.0027,10,40,1.7,"[-6.2899, 8.8793]"
rastrigin,100,"[-2.0144, 0.0372]",4.3724,0.001,30,10,0.9,"[-3.4447, 4.8444]"
rastrigin,800,"[-0.0081, -1.9918]",3.9937,0.0106,20,80,0.2,"[-5.0803, 7.0489]"
rastrigin,300,"[1.0089, -0.1073]",3.2313,0.007,40,30,6.5,"[-7.4343, 7.8709]"
rastrigin,700,"[-0.0068, -0.9938]",1.0043,0.0158,40,70,2.9,"[-0.4231, 7.3408]"
rastrigin,400,"[1.0004, 0.9165]",3.1851,0.0089,40,40,9.7,"[-7.8675, 8.351]"
rastrigin,100,"[-0.8907, -1.0084]",4.0911,0.002,40,10,8.3,"[-8.6063, 1.2023]"
rastrigin,10,"[0.1013, -3.0474]",11.6943,0.0016,50,1,2.3,"[-6.0093, 6.455]"
rastrigin,1000,"[-1.0172, 0.0643]",1.9028,0.0118,20,100,5.2,"[-3.8977, 1.1697]"
rastrigin,50,"[0.0246, 0.1569]",4.6214,0.001,40,5,3.4,"[-7.1972, 1.7706]"
rastrigin,1000,"[0.9727, 0.0634]",1.8803,0.0165,30,100,7.6,"[-0.8882, 8.0351]"
rastrigin,700,"[-0.0117, 0.0962]",1.809,0.0117,30,70,4.6,"[-5.7461, 8.7468]"
rastrigin,100,"[-0.0401, -0.0723]",1.3384,0.0025,50,10,7.8,"[-0.8163, 0.478]"
rastrigin,700,"[-0.0252, -1.0693]",2.203,0.008,20,70,3.2,"[-6.2892, 4.8579]"
rastrigin,200,"[-0.0588, 0.8842]",3.9942,0.005,50,20,8.2,"[-2.0593, 3.1162]"
rastrigin,600,"[-0.0847, -1.053]",3.0486,0.0101,30,60,10.0,"[-7.5707, 4.5864]"
rastrigin,700,"[-0.963, 1.0375]",2.5497,0.008,20,70,3.6,"[-2.6518, 9.5998]"
rastrigin,700,"[0.0106, 0.9867]",1.0305,0.0148,40,70,7.9,"[-7.3472, 5.1567]"
rastrigin,50,"[0.8744, 0.0329]",3.9338,0.001,30,5,2.1,"[-2.7443, 5.4658]"
rastrigin,300,"[0.9832, 0.955]",2.3316,0.0025,10,30,9.3,"[-9.1957, 2.4664]"
rastrigin,700,"[-0.9353, -0.9773]",2.7457,0.0154,40,70,8.6,"[-3.7763, 5.52]"
rastrigin,1000,"[-0.0025, -0.9863]",1.0111,0.0171,30,100,1.9,"[-4.6677, 3.297]"
rastrigin,50,"[1.0574, 1.0034]",2.7692,0.0,10,5,1.0,"[-0.8958, 8.6367]"
rastrigin,10,"[-2.8325, -1.0097]",14.1065,0.0,50,1,1.6,"[-8.0616, 7.6685]"
rastrigin,700,"[-2.9953, -2.0127]",13.0589,0.0046,10,70,0.2,"[-5.0128, 3.2367]"
rastrigin,50,"[0.933, -0.9716]",2.8472,0.001,10,5,5.5,"[-2.1168, 4.3462]"
rastrigin,100,"[2.0198, -0.8844]",7.4642,0.003,50,10,6.1,"[-7.3268, 4.7258]"
rastrigin,200,"[0.001, -0.0453]",0.4044,0.0058,50,20,2.9,"[-8.9572, 1.6556]"
rastrigin,900,"[0.0166, -1.0564]",1.7926,0.0262,50,90,9.8,"[-6.9526, 3.9362]"
rastrigin,800,"[-0.0622, 1.0255]",1.9364,0.0176,40,80,6.6,"[-3.2625, 0.706]"
rastrigin,300,"[0.1206, 1.0163]",3.8364,0.003,20,30,3.8,"[-2.6521, 9.7971]"
rastrigin,400,"[-1.9934, 1.988]",7.9627,0.007,30,40,0.1,"[-6.5668, 8.9552]"
rastrigin,1000,"[0.0416, -0.9542]",1.6629,0.0223,40,100,7.2,"[-4.4449, 9.8199]"
rastrigin,200,"[-0.059, 0.1459]",4.6194,0.001,10,20,2.7,"[-3.0942, 0.3583]"
rastrigin,200,"[0.0331, 0.9881]",1.2211,0.0045,40,20,3.0,"[-9.4142, 1.4099]"
rastrigin,400,"[0.0211, -0.0516]",0.6126,0.0115,50,40,1.7,"[-4.1535, 3.7654]"
rastrigin,600,"[0.0598, -0.9801]",1.7405,0.004,10,60,5.0,"[-6.2641, 7.7254]"
rastrigin,1000,"[-0.0372, -0.0206]",0.3579,0.0214,40,100,6.0,"[-1.6133, 5.6058]"
rastrigin,400,"[0.0015, -0.072]",1.0126,0.0071,30,40,1.7,"[-6.7764, 8.7387]"
rastrigin,600,"[0.9901, 0.0019]",1.0005,0.0164,50,60,0.1,"[-3.2001, 6.5389]"
rastrigin,700,"[0.1069, 0.0034]",2.1842,0.0085,20,70,3.1,"[-2.2862, 4.768]"
rastrigin,1000,"[0.9419, 0.0165]",1.5992,0.0272,50,100,5.9,"[-6.5761, 8.0815]"
rastrigin,300,"[-0.104, -0.0164]",2.123,0.002,10,30,1.0,"[-0.4046, 2.2452]"
rastrigin,50,"[1.0832, 0.9399]",4.0954,0.0005,30,5,2.7,"[-4.5314, 6.7093]"
rastrigin,700,"[-0.0175, -0.0303]",0.2422,0.0188,50,70,2.1,"[-8.1698, 7.5096]"
rastrigin,600,"[-1.0303, 0.0787]",2.445,0.0069,20,60,9.8,"[-6.9932, 9.2519]"
rastrigin,200,"[-0.0333, -2.8726]",11.5084,0.0013,10,20,8.5,"[-4.7852, 2.7622]"
rastrigin,300,"[0.9218, 0.0026]",2.0353,0.0071,40,30,3.1,"[-1.2498, 6.4048]"
rastrigin,900,"[0.0487, 0.9785]",1.5166,0.0066,10,90,2.1,"[-1.5053, 8.5873]"
rastrigin,700,"[-0.0107, -0.0213]",0.1122,0.019,50,70,8.7,"[-9.3779, 6.1432]"
rastrigin,10,"[-0.0545, 0.8259]",6.6742,0.001,50,1,5.8,"[-3.5662, 3.1507]"
rastrigin,900,"[-0.9892, 0.0149]",1.0457,0.0058,10,90,1.2,"[-0.7676, 6.3864]"
rastrigin,50,"[-0.081, -0.9344]",2.9863,0.002,50,5,2.8,"[-2.86, 1.5573]"
rastrigin,700,"[0.0258, -1.0297]",1.3667,0.0162,40,70,4.1,"[-3.1967, 4.726]"
rastrigin,600,"[-1.0602, 0.0015]",1.8322,0.013,40,60,3.5,"[-1.9909, 2.5677]"
rastrigin,400,"[0.0147, -2.054]",4.8327,0.003,10,40,3.5,"[-0.7839, 4.8339]"
rastrigin,900,"[-0.0689, 0.9286]",2.7772,0.0096,20,90,4.3,"[-2.722, 7.8005]"
rastrigin,500,"[-0.9919, 0.0137]",1.0342,0.006,20,50,0.2,"[-2.8787, 4.2681]"
rastrigin,10,"[-2.0437, -5.1487]",35.1159,0.001,10,1,7.5,"[-9.9932, 0.4036]"
rastrigin,10,"[-1.9599, -1.0452]",5.6505,0.0,30,1,8.7,"[-2.1107, 0.7664]"
rastrigin,600,"[0.0365, -1.0136]",1.327,0.0133,40,60,3.9,"[-1.5718, 0.5493]"
rastrigin,100,"[-0.1607, 1.0011]",5.7045,0.003,40,10,9.0,"[-9.3723, 1.7382]"
rastrigin,800,"[-1.0218, -0.9708]",2.2479,0.0101,20,80,0.9,"[-4.7528, 6.0521]"
rastrigin,600,"[0.0513, -1.0796]",2.9081,0.0155,50,60,6.1,"[-1.4364, 3.0084]"
rastrigin,500,"[0.9581, 0.0112]",1.2874,0.0133,50,50,2.6,"[-5.8164, 7.6208]"
rastrigin,200,"[0.0227, 0.1609]",4.8162,0.0036,30,20,5.0,"[-7.0533, 3.898]"
rastrigin,10,"[-0.0716, -1.0291]",2.2258,0.0,20,1,4.6,"[-1.4129, 3.6155]"
rastrigin,200,"[2.0347, -0.0666]",5.2447,0.002,20,20,4.0,"[-2.4159, 5.635]"
rastrigin,300,"[-2.0143, -0.0285]",4.2586,0.0038,20,30,0.6,"[-9.1781, 2.6332]"
rastrigin,10,"[-2.8636, 0.8695]",15.5861,0.0,10,1,9.8,"[-8.4923, 9.588]"
rastrigin,900,"[0.0019, 0.0721]",1.0142,0.0071,10,90,5.4,"[-1.8447, 4.9543]"
rastrigin,900,"[0.0182, 0.0516]",0.5895,0.0146,30,90,4.2,"[-4.5594, 7.7125]"
rastrigin,600,"[0.9928, 0.0025]",0.9971,0.0214,40,60,6.9,"[-7.4652, 4.569]"
rastrigin,800,"[-0.0602, 0.0421]",1.0611,0.0141,30,80,5.7,"[-3.0064, 1.3059]"
rastrigin,700,"[0.9267, -0.0037]",1.9034,0.0121,30,70,5.0,"[-2.4324, 5.8049]"
rastrigin,10,"[1.0904, 0.9839]",3.7783,0.001,30,1,4.8,"[-3.4672, 2.4782]"
rastrigin,100,"[-1.1576, -0.0918]",7.4826,0.001,10,10,5.0,"[-0.698, 6.5421]"
rastrigin,300,"[0.0068, 0.0195]",0.0847,0.0086,50,30,0.7,"[-7.8786, 2.6057]"
rastrigin,700,"[1.0129, -0.0337]",1.2836,0.0111,30,70,4.1,"[-1.8032, 7.5184]"
rastrigin,1000,"[-0.0486, 0.9753]",1.5367,0.0171,30,100,4.0,"[-7.0848, 4.7601]"
rastrigin,200,"[-1.9304, 0.0588]",5.3455,0.0054,50,20,8.4,"[-6.9658, 6.2913]"
rastrigin,10,"[0.9778, 1.0088]",2.0866,0.0,40,1,9.3,"[-0.0118, 3.662]"
rastrigin,900,"[0.0726, 1.0005]",2.0276,0.0097,20,90,4.9,"[-3.7849, 9.3456]"
rastrigin,100,"[-0.9762, 0.9893]",2.0661,0.0,10,10,4.8,"[-7.2368, 8.0251]"
rastrigin,10,"[1.2373, -0.7951]",18.5705,0.0,30,1,9.2,"[-7.7462, 1.4096]"
rastrigin,200,"[0.9158, -1.0298]",3.4411,0.001,10,20,10.0,"[-5.7552, 5.2279]"
rastrigin,300,"[0.0557, 0.2537]",10.905,0.0022,10,30,7.0,"[-7.5278, 1.4494]"
rastrigin,1000,"[-0.9696, 0.0501]",1.6163,0.0163,30,100,3.6,"[-8.3224, 7.3766]"
rastrigin,100,"[0.9303, -0.0028]",1.8117,0.002,30,10,9.6,"[-2.3514, 0.9727]"
rastrigin,700,"[1.0171, 0.0196]",1.1683,0.0165,40,70,6.0,"[-9.0032, 5.7075]"
rastrigin,50,"[0.0013, -1.9525]",4.2552,0.001,30,5,9.7,"[-5.3452, 0.6907]"
rastrigin,50,"[-0.7339, 0.0569]",12.187,0.001,50,5,7.6,"[-7.1778, 7.5115]"
rastrigin,800,"[0.0292, 0.0546]",0.7549,0.0172,40,80,5.9,"[-0.7068, 0.9766]"
rastrigin,800,"[-0.01, 0.0177]",0.0819,0.0216,50,80,0.5,"[-8.8131, 6.8109]"
rastrigin,1000,"[1.002, -0.015]",1.0491,0.0166,30,100,3.7,"[-6.6578, 6.2033]"
rastrigin,900,"[-0.99, -0.0239]",1.1131,0.0154,30,90,1.4,"[-4.373, 8.2972]"
rastrigin,50,"[2.0277, 0.0785]",5.462,0.0,10,5,8.0,"[-8.6385, 0.0545]"
rastrigin,100,"[-0.9941, 1.0959]",3.9565,0.002,40,10,5.6,"[-5.1246, 1.6397]"
rastrigin,100,"[-1.0686, -0.0264]",2.1946,0.001,10,10,2.6,"[-3.4743, 1.108]"
rastrigin,300,"[0.0175, -1.0818]",2.5242,0.003,20,30,8.5,"[-1.751, 5.5083]"
rastrigin,800,"[1.0176, -0.0499]",1.5862,0.0097,20,80,3.3,"[-4.8586, 5.9861]"
rastrigin,10,"[-1.0732, -2.8906]",12.8162,0.001,20,1,1.8,"[-8.4054, 0.6391]"
rastrigin,300,"[-0.1215, -0.0957]",4.5534,0.002,10,30,2.1,"[-5.3074, 3.3526]"
rastrigin,800,"[-0.0019, -0.0361]",0.2579,0.0132,30,80,9.0,"[-9.1797, 7.6402]"
rastrigin,50,"[0.0164, 0.8285]",6.0022,0.001,20,5,7.7,"[-3.0551, 2.9865]"
rastrigin,50,"[0.9983, 1.0189]",2.1058,0.002,40,5,0.7,"[-2.3531, 6.348]"
rastrigin,10,"[-2.0738, 2.167]",15.069,0.0,20,1,5.5,"[-5.9508, 9.0241]"
rastrigin,10,"[-0.0799, -1.1933]",9.1775,0.0015,30,1,6.5,"[-1.3564, 6.8192]"
rastrigin,100,"[-0.0461, -0.9576]",1.6896,0.003,50,10,2.3,"[-9.3434, 0.6659]"
rastrigin,400,"[-0.0412, 0.0697]",1.2819,0.0086,40,40,3.4,"[-8.532, 3.7586]"
rastrigin,400,"[-0.0224, -0.049]",0.5722,0.0105,50,40,2.6,"[-4.8761, 9.0006]"
rastrigin,500,"[0.0226, -0.0253]",0.2274,0.003,10,50,2.1,"[-9.1283, 4.9815]"
rastrigin,600,"[-0.936, 1.0109]",2.7198,0.0065,20,60,4.9,"[-5.8742, 5.8788]"
himmelblau_function,1000,"[3.6227, -1.8389]",0.0811,0.0165,50,100,4.7,"[-3.8595, 4.6068]"
himmelblau_function,900,"[3.0724, 1.8266]",0.4202,0.0141,50,90,8.5,"[-2.3856, 7.5347]"
himmelblau_function,600,"[2.8279, 1.9117]",1.4585,0.0086,40,60,9.0,"[-8.1819, 1.3037]"
himmelblau_function,600,"[-3.8912, -3.4299]",1.2678,0.0045,20,60,10.0,"[-6.2899, 7.6693]"
himmelblau_function,300,"[3.587, -1.9126]",0.0622,0.0045,40,30,1.0,"[-4.2019, 5.4959]"
himmelblau_function,200,"[2.9668, 1.9472]",0.1214,0.001,10,20,0.4,"[-2.3364, 5.5497]"
himmelblau_function,800,"[2.9561, 1.8394]",0.6143,0.0113,50,80,3.2,"[-9.3442, 0.1647]"
himmelblau_function,500,"[3.0134, 2.0083]",0.0101,0.0078,50,50,2.0,"[-9.988, 1.4482]"
himmelblau_function,200,"[-3.7538, -3.2588]",0.0461,0.003,30,20,0.4,"[-4.1238, 0.7325]"
himmelblau_function,400,"[-2.7116, 3.1576]",0.3067,0.004,30,40,6.8,"[-9.1958, 9.0515]"
himmelblau_function,100,"[2.9858, 2.0714]",0.0766,0.0021,50,10,0.6,"[-9.0136, 5.4827]"
himmelblau_function,500,"[-2.5747, 3.2153]",1.9181,0.0044,20,50,4.8,"[-9.3994, 2.2869]"
himmelblau_function,900,"[2.9695, 2.018]",0.0286,0.0137,50,90,7.4,"[-2.9055, 7.3131]"
himmelblau_function,100,"[-2.8757, 2.9361]",1.6173,0.0013,50,10,3.8,"[-5.7399, 4.6724]"
himmelblau_function,900,"[-2.8677, 3.2017]",0.3278,0.0095,30,90,5.9,"[-7.5276, 7.727]"
himmelblau_function,800,"[2.8929, 2.3975]",2.7467,0.0055,20,80,5.6,"[-4.1677, 7.5857]"
himmelblau_function,200,"[3.7805, -1.6079]",3.2397,0.0011,20,20,4.8,"[-6.4313, 8.9176]"
himmelblau_function,100,"[4.2376, -2.1684]",26.6946,0.0,10,10,7.0,"[-8.5997, 2.5552]"
