Function,Iterations,Best Solution,Best Fitness,Execution Time (s),Population Size,Generations,Step Size,Domain
three_hump_camel_function,700,"[0.0268, -0.0447]",0.0022,0.0075,30,70,4.1,"[-9.1953, 1.6383]"
three_hump_camel_function,600,"[-0.1069, 0.2866]",0.0742,0.0045,20,60,8.8,"[-8.9117, 0.0356]"
three_hump_camel_function,50,"[-0.1318, 0.0964]",0.031,0.0,10,5,6.2,"[-3.0438, 4.191]"
three_hump_camel_function,700,"[0.0798, -0.0812]",0.0128,0.0083,30,70,7.4,"[-9.7764, 9.6069]"
three_hump_camel_function,100,"[-0.0386, 0.1454]",0.0185,0.0015,40,10,5.8,"[-8.1966, 7.0918]"
three_hump_camel_function,50,"[-0.0154, -0.272]",0.0786,0.001,50,5,8.5,"[-1.2892, 1.5923]"
three_hump_camel_function,500,"[0.1102, -0.1718]",0.0347,0.003,20,50,4.9,"[-0.8128, 3.4678]"
three_hump_camel_function,700,"[-0.009, -0.0599]",0.0043,0.0107,40,70,2.3,"[-9.1369, 5.0502]"
three_hump_camel_function,400,"[0.0118, -0.2088]",0.0414,0.003,20,40,4.1,"[-4.6694, 5.4025]"
three_hump_camel_function,800,"[0.0027, -0.2653]",0.0697,0.0142,50,80,9.3,"[-9.4015, 2.2603]"
three_hump_camel_function,200,"[-1.5555, 0.9226]",0.469,0.002,30,20,8.1,"[-5.4898, 9.1053]"
three_hump_camel_function,10,"[1.839, -0.6021]",0.4566,0.0,40,1,0.9,"[-7.239, 4.3718]"
three_hump_camel_function,600,"[0.0001, 0.0058]",0.0,0.0106,50,60,0.2,"[-3.4338, 0.4952]"
three_hump_camel_function,200,"[-0.0651, 0.4235]",0.1602,0.003,40,20,9.2,"[-5.8, 8.7451]"
three_hump_camel_function,1000,"[-0.0084, -0.0216]",0.0008,0.0042,10,100,1.0,"[-9.4748, 6.7883]"
three_hump_camel_function,700,"[0.0606, -0.0223]",0.0065,0.012,50,70,3.0,"[-5.929, 7.2798]"
three_hump_camel_function,50,"[-0.0224, 0.097]",0.0082,0.001,40,5,8.8,"[-0.9553, 0.45]"
three_hump_camel_function,800,"[-0.0343, -0.1377]",0.026,0.0109,40,80,6.0,"[-2.4538, 1.7004]"
three_hump_camel_function,1000,"[-0.1246, 0.0926]",0.0278,0.0114,30,100,6.2,"[-1.5519, 1.3965]"
three_hump_camel_function,800,"[0.0685, -0.0467]",0.0084,0.0115,40,80,7.7,"[-6.6143, 2.3793]"
three_hump_camel_function,100,"[-1.6088, 1.3497]",0.6827,0.002,50,10,9.1,"[-8.7778, 7.3255]"
three_hump_camel_function,700,"[0.0929, 0.0636]",0.0271,0.0081,30,70,8.5,"[-8.0042, 5.0731]"
three_hump_camel_function,500,"[-0.0028, -0.0274]",0.0008,0.006,30,50,0.5,"[-6.3857, 2.4015]"
three_hump_camel_function,400,"[-0.0037, 0.112]",0.0122,0.005,30,40,2.9,"[-1.7529, 1.1305]"
three_hump_camel_function,600,"[-0.1687, 0.2305]",0.0703,0.0109,50,60,7.5,"[-9.9269, 5.6741]"
three_hump_camel_function,10,"[-0.0798, 0.0841]",0.0131,0.0,50,1,8.3,"[-3.3679, 1.4967]"
three_hump_camel_function,500,"[-1.7492, 0.8598]",0.2989,0.0085,50,50,0.2,"[-6.0784, 9.5195]"
three_hump_camel_function,900,"[-0.1631, -0.0028]",0.0529,0.0134,40,90,9.0,"[-8.7744, 4.5505]"
three_hump_camel_function,600,"[0.0329, 0.0115]",0.0027,0.0103,50,60,2.0,"[-0.3686, 4.1576]"
three_hump_camel_function,1000,"[-0.1094, -0.1492]",0.0624,0.0164,40,100,6.0,"[-3.6855, 4.3424]"
three_hump_camel_function,100,"[-0.1614, 0.1]",0.0453,0.002,40,10,2.8,"[-2.3295, 5.7556]"
three_hump_camel_function,800,"[-0.1388, 0.2079]",0.0525,0.003,10,80,7.4,"[-9.5902, 8.1478]"
three_hump_camel_function,600,"[0.1395, -0.4099]",0.1494,0.003,10,60,6.1,"[-1.7006, 0.5624]"
three_hump_camel_function,700,"[-0.0016, 0.055]",0.0029,0.0098,40,70,1.4,"[-4.8209, 6.2079]"
three_hump_camel_function,100,"[-1.6049, 0.8488]",0.3917,0.001,30,10,5.9,"[-9.9526, 1.9965]"
three_hump_camel_function,300,"[0.05, -0.2132]",0.0398,0.0042,30,30,2.8,"[-8.5673, 1.862]"
three_hump_camel_function,200,"[0.0205, -0.3833]",0.1399,0.0021,40,20,8.5,"[-0.3122, 2.0878]"
three_hump_camel_function,800,"[0.0116, -0.1181]",0.0129,0.0107,40,80,6.2,"[-7.3081, 2.6529]"
three_hump_camel_function,500,"[-0.3185, 0.1122]",0.1691,0.0087,50,50,8.1,"[-5.7962, 3.8791]"
three_hump_camel_function,900,"[0.1016, -0.0489]",0.0179,0.016,50,90,6.7,"[-3.106, 6.1033]"
three_hump_camel_function,300,"[-0.027, 0.1329]",0.0155,0.005,50,30,4.0,"[-3.5679, 2.1904]"
three_hump_camel_function,600,"[-0.0957, -0.0256]",0.0213,0.006,30,60,5.3,"[-7.2082, 7.6494]"
three_hump_camel_function,300,"[0.1502, 0.2386]",0.1374,0.003,30,30,7.9,"[-7.4262, 2.4756]"
three_hump_camel_function,400,"[-0.1843, 0.1302]",0.0597,0.0015,10,40,3.8,"[-1.1557, 8.145]"
three_hump_camel_function,200,"[0.0235, -0.087]",0.0066,0.001,10,20,1.0,"[-4.4468, 8.0412]"
three_hump_camel_function,700,"[-0.1431, 0.107]",0.0366,0.003,10,70,4.4,"[-5.0315, 3.7213]"
three_hump_camel_function,10,"[1.6341, -0.5929]",0.4097,0.0,20,1,2.1,"[-2.0607, 4.4717]"
three_hump_camel_function,300,"[-0.0469, 0.1763]",0.0272,0.004,40,30,6.5,"[-9.3409, 3.4147]"
three_hump_camel_function,700,"[-0.6671, 0.5662]",0.6397,0.003,10,70,9.0,"[-5.3635, 0.4581]"
three_hump_camel_function,200,"[-0.0841, -0.2031]",0.0724,0.003,40,20,3.3,"[-1.8231, 6.6613]"
three_hump_camel_function,900,"[-0.1472, 0.1374]",0.0415,0.0105,30,90,3.7,"[-4.5101, 0.1194]"
three_hump_camel_function,900,"[0.0899, 0.0607]",0.0252,0.0092,30,90,2.4,"[-9.8349, 6.1868]"
three_hump_camel_function,400,"[0.0201, -0.1744]",0.0277,0.004,20,40,5.4,"[-1.2183, 6.0758]"
three_hump_camel_function,200,"[1.836, -1.5254]",0.7208,0.001,10,20,8.5,"[-7.7717, 3.5879]"
three_hump_camel_function,1000,"[0.0044, -0.0029]",0.0,0.0167,50,100,0.4,"[-7.2879, 8.0531]"
three_hump_camel_function,600,"[-0.1025, -0.4069]",0.2281,0.003,10,60,6.9,"[-8.0864, 1.6389]"
three_hump_camel_function,700,"[0.0102, 0.0092]",0.0004,0.0116,50,70,1.0,"[-4.9138, 4.5588]"
three_hump_camel_function,300,"[0.0654, 0.0349]",0.012,0.005,50,30,4.1,"[-4.3326, 1.2263]"
three_hump_camel_function,800,"[0.0165, -0.0459]",0.0019,0.0107,40,80,6.4,"[-5.2241, 5.3539]"
three_hump_camel_function,1000,"[0.2466, -0.2115]",0.1104,0.0109,30,100,9.7,"[-8.0603, 7.5538]"
three_hump_camel_function,100,"[0.6237, -0.5531]",0.5899,0.0,10,10,7.0,"[-8.863, 7.2365]"
three_hump_camel_function,300,"[-1.8798, 0.817]",0.4419,0.002,20,30,7.5,"[-8.4163, 4.7077]"
three_hump_camel_function,200,"[0.1038, -0.1238]",0.0239,0.0031,50,20,2.8,"[-2.5819, 9.8366]"
three_hump_camel_function,10,"[0.1286, -0.6017]",0.3174,0.0,10,1,8.4,"[-6.9558, 0.2057]"
three_hump_camel_function,200,"[0.0907, 0.1373]",0.0477,0.0015,20,20,0.7,"[-9.8557, 5.8875]"
three_hump_camel_function,700,"[-0.0109, -0.0513]",0.0034,0.0105,40,70,9.2,"[-6.2943, 6.7993]"
three_hump_camel_function,1000,"[0.0002, -0.02]",0.0004,0.0185,50,100,1.0,"[-9.7047, 2.295]"
three_hump_camel_function,100,"[0.2421, -0.0596]",0.1028,0.002,50,10,2.2,"[-9.7325, 8.4322]"
three_hump_camel_function,700,"[0.1021, -0.1572]",0.0294,0.0086,30,70,5.6,"[-5.7263, 3.2658]"
three_hump_camel_function,100,"[-0.2006, -0.2568]",0.1963,0.0,10,10,6.3,"[-6.5863, 9.8419]"
three_hump_camel_function,300,"[-0.0828, -0.2269]",0.0839,0.001,10,30,8.5,"[-0.3411, 9.6005]"
three_hump_camel_function,900,"[0.2333, -0.2173]",0.1023,0.0044,10,90,5.4,"[-7.1098, 3.7403]"
three_hump_camel_function,10,"[0.5129, -0.0745]",0.4239,0.001,50,1,5.5,"[-8.5321, 3.5696]"
three_hump_camel_function,800,"[0.0614, -0.1091]",0.0127,0.0089,30,80,8.2,"[-1.7668, 6.7571]"
three_hump_camel_function,700,"[-0.0504, -0.2023]",0.0562,0.014,40,70,5.1,"[-3.3164, 3.5579]"
three_hump_camel_function,200,"[0.0323, -0.2064]",0.038,0.001,10,20,8.9,"[-8.1014, 3.8325]"
three_hump_camel_function,200,"[-0.2035, -0.0307]",0.0882,0.003,40,20,7.1,"[-1.3351, 2.3574]"
three_hump_camel_function,100,"[-0.0878, -0.0797]",0.0287,0.0015,50,10,5.5,"[-0.5433, 5.7154]"
three_hump_camel_function,700,"[-0.1347, 0.2044]",0.0502,0.0086,20,70,6.6,"[-6.1041, 6.3946]"
three_hump_camel_function,300,"[-0.1436, -0.487]",0.3479,0.0025,20,30,6.8,"[-5.8761, 8.0035]"
three_hump_camel_function,1000,"[0.0349, 0.3683]",0.1509,0.0145,40,100,8.6,"[-8.0023, 0.7366]"
three_hump_camel_function,50,"[0.1077, -0.2082]",0.044,0.0,20,5,0.1,"[-1.0629, 1.256]"
three_hump_camel_function,600,"[-0.1855, 0.4239]",0.1686,0.0105,50,60,6.0,"[-7.979, 7.4307]"
three_hump_camel_function,100,"[-0.3809, 0.0576]",0.25,0.001,20,10,3.8,"[-9.9659, 2.9921]"
three_hump_camel_function,1000,"[-0.2206, 0.0031]",0.0942,0.0075,20,100,8.9,"[-6.9145, 1.967]"
three_hump_camel_function,100,"[-0.361, 0.014]",0.2383,0.001,10,10,6.1,"[-1.7721, 6.2805]"
three_hump_camel_function,300,"[1.1005, -0.2915]",0.9423,0.0009,10,30,8.5,"[-8.4346, 8.5497]"
three_hump_camel_function,600,"[0.0745, -0.1451]",0.0213,0.0105,50,60,5.6,"[-8.7973, 0.7135]"
three_hump_camel_function,700,"[-0.1202, 0.0045]",0.0282,0.006,20,70,2.8,"[-8.2539, 0.9405]"
three_hump_camel_function,300,"[0.0495, 0.1688]",0.0417,0.0055,50,30,2.9,"[-2.9708, 3.7168]"
three_hump_camel_function,300,"[0.0991, -0.2293]",0.0494,0.004,40,30,3.6,"[-8.0158, 9.9083]"
three_hump_camel_function,500,"[-0.0039, 0.0915]",0.008,0.003,10,50,1.6,"[-4.0455, 4.649]"
three_hump_camel_function,50,"[-0.3077, -0.3118]",0.3732,0.001,30,5,3.6,"[-4.5323, 3.2317]"
three_hump_camel_function,1000,"[0.1197, -0.116]",0.028,0.0176,50,100,4.9,"[-1.7012, 4.9579]"
three_hump_camel_function,50,"[0.8155, -0.1552]",0.8123,0.001,30,5,6.1,"[-3.2499, 8.4448]"
three_hump_camel_function,200,"[-0.0023, 0.0092]",0.0001,0.002,30,20,0.4,"[-8.1532, 3.9598]"
three_hump_camel_function,300,"[0.0722, 0.0604]",0.0184,0.0035,30,30,7.4,"[-2.2699, 1.0038]"
three_hump_camel_function,800,"[0.0138, -0.0787]",0.0055,0.004,10,80,1.7,"[-3.0974, 6.207]"
three_hump_camel_function,600,"[-0.0608, 0.1691]",0.0257,0.008,40,60,2.8,"[-5.6238, 9.8303]"
three_hump_camel_function,700,"[0.0938, 0.0299]",0.0212,0.0055,20,70,3.6,"[-9.7006, 7.8888]"
three_hump_camel_function,800,"[0.0315, -0.1233]",0.0133,0.0112,30,80,2.1,"[-2.7603, 0.6185]"
three_hump_camel_function,400,"[0.0211, 0.0952]",0.012,0.003,20,40,7.2,"[-4.9241, 1.4243]"
three_hump_camel_function,900,"[0.0619, 0.0251]",0.0098,0.0155,50,90,4.7,"[-7.6169, 2.5948]"
three_hump_camel_function,100,"[0.1806, -0.0424]",0.0583,0.0,20,10,2.5,"[-3.3034, 7.0016]"
three_hump_camel_function,400,"[1.8513, -0.2461]",0.8355,0.0015,10,40,8.1,"[-9.367, 6.6632]"
three_hump_camel_function,600,"[-0.0804, 0.0848]",0.0133,0.0078,40,60,1.5,"[-5.0812, 2.4448]"
three_hump_camel_function,300,"[-0.0984, 0.2479]",0.0563,0.0023,20,30,4.5,"[-9.6234, 1.0475]"
three_hump_camel_function,500,"[-0.0077, 0.0018]",0.0001,0.0045,30,50,1.5,"[-0.5454, 5.5372]"
three_hump_camel_function,600,"[0.0101, -0.0596]",0.0032,0.0056,20,60,2.0,"[-6.7313, 2.9306]"
three_hump_camel_function,200,"[-0.031, 0.0213]",0.0017,0.003,40,20,1.1,"[-1.188, 8.2957]"
three_hump_camel_function,700,"[0.0066, -0.0024]",0.0001,0.0107,30,70,0.4,"[-0.0485, 7.3023]"
three_hump_camel_function,400,"[0.1706, 0.0473]",0.0676,0.002,10,40,6.8,"[-6.6216, 5.8207]"
three_hump_camel_function,50,"[1.6235, -0.4248]",0.5196,0.001,30,5,8.6,"[-7.0232, 4.8655]"
three_hump_camel_function,700,"[0.1888, 0.0609]",0.0852,0.0066,20,70,5.1,"[-4.2747, 8.4677]"
three_hump_camel_function,100,"[-0.3248, 0.1497]",0.1733,0.001,30,10,5.6,"[-4.8515, 3.0052]"
three_hump_camel_function,200,"[0.0265, -0.1832]",0.0301,0.0032,40,20,7.3,"[-6.2677, 7.5845]"
three_hump_camel_function,900,"[0.0086, 0.0587]",0.0041,0.017,50,90,4.9,"[-3.7475, 1.4212]"
three_hump_camel_function,600,"[-0.0258, -0.0125]",0.0018,0.0087,40,60,1.1,"[-0.6769, 2.178]"
three_hump_camel_function,900,"[0.1833, -0.3388]",0.1187,0.0096,30,90,6.0,"[-7.0104, 9.8779]"
three_hump_camel_function,300,"[0.069, 0.033]",0.0129,0.005,50,30,8.1,"[-5.6957, 3.4304]"
three_hump_camel_function,600,"[-0.3492, 0.0577]",0.2118,0.0246,50,60,8.3,"[-5.6916, 1.0573]"
three_hump_camel_function,300,"[-0.3241, 0.2577]",0.1815,0.0078,40,30,5.7,"[-3.9614, 9.3048]"
three_hump_camel_function,900,"[0.0531, -0.2157]",0.0407,0.0166,50,90,6.0,"[-4.7397, 0.0577]"
three_hump_camel_function,700,"[0.0141, 0.031]",0.0018,0.0127,50,70,1.7,"[-1.7372, 7.8245]"
three_hump_camel_function,300,"[-0.0324, 0.1444]",0.0183,0.004,40,30,6.5,"[-5.5442, 4.3053]"
three_hump_camel_function,50,"[1.4628, -1.2417]",0.8303,0.001,20,5,5.4,"[-9.4906, 0.5508]"
three_hump_camel_function,300,"[0.009, -0.0385]",0.0013,0.0045,40,30,0.5,"[-0.9771, 0.8736]"
three_hump_camel_function,300,"[0.0379, -0.0276]",0.0026,0.0055,30,30,2.2,"[-0.6106, 2.8973]"
three_hump_camel_function,200,"[0.0451, -0.0721]",0.006,0.001,30,20,3.5,"[-4.4889, 0.2712]"
three_hump_camel_function,600,"[0.0839, -0.5786]",0.3003,0.005,20,60,8.5,"[-8.4725, 8.4763]"
three_hump_camel_function,400,"[-0.0039, -0.0282]",0.0009,0.0076,50,40,1.4,"[-6.5592, 5.0226]"
three_hump_camel_function,50,"[0.1614, -0.1562]",0.0506,0.001,30,5,2.4,"[-7.6692, 3.9727]"
three_hump_camel_function,1000,"[-0.0502, -0.0579]",0.0113,0.0116,30,100,2.6,"[-1.7207, 7.6647]"
three_hump_camel_function,100,"[-0.2196, 0.1226]",0.0822,0.002,50,10,7.2,"[-2.1847, 9.4944]"
three_hump_camel_function,50,"[0.4635, -0.4064]",0.3597,0.001,20,5,8.0,"[-9.6496, 5.9441]"
three_hump_camel_function,800,"[0.003, 0.1051]",0.0114,0.0103,40,80,7.2,"[-9.5829, 8.7586]"
three_hump_camel_function,10,"[-0.2376, -0.0214]",0.1152,0.0,40,1,8.9,"[-0.6988, 2.3789]"
three_hump_camel_function,900,"[0.1265, -0.0248]",0.0292,0.0105,30,90,3.7,"[-3.6687, 3.7813]"
three_hump_camel_function,100,"[0.2849, -0.3399]",0.1742,0.001,20,10,3.2,"[-3.848, 3.7117]"
three_hump_camel_function,500,"[0.1701, -0.5651]",0.2802,0.003,20,50,6.5,"[-8.3188, 2.8027]"
three_hump_camel_function,400,"[-0.3608, 0.1356]",0.2124,0.004,30,40,9.8,"[-0.2879, 6.3863]"
three_hump_camel_function,800,"[-0.3103, 0.4298]",0.2343,0.0089,30,80,9.5,"[-3.2893, 7.6187]"
three_hump_camel_function,500,"[0.0023, 0.029]",0.0009,0.0077,40,50,1.2,"[-7.609, 3.6406]"
three_hump_camel_function,600,"[-0.1296, 0.2348]",0.058,0.0067,30,60,6.4,"[-3.6866, 1.5119]"
three_hump_camel_function,100,"[0.1913, -0.2144]",0.0767,0.002,50,10,7.4,"[-5.637, 8.4659]"
three_hump_camel_function,50,"[-0.1059, -0.1132]",0.0471,0.0015,50,5,3.8,"[-1.3318, 7.7138]"
three_hump_camel_function,600,"[0.004, 0.0613]",0.004,0.0117,50,60,3.5,"[-8.8288, 1.3978]"
three_hump_camel_function,100,"[0.0882, -0.1334]",0.0215,0.001,30,10,0.7,"[-9.3656, 4.1509]"
three_hump_camel_function,200,"[0.0633, -0.0528]",0.0074,0.002,20,20,0.5,"[-1.0753, 7.0842]"
three_hump_camel_function,400,"[-0.0626, -0.0753]",0.0182,0.007,50,40,3.7,"[-0.478, 6.8337]"
three_hump_camel_function,300,"[0.1946, -0.1759]",0.071,0.0045,50,30,5.3,"[-1.802, 2.7174]"
three_hump_camel_function,100,"[0.2297, 0.4502]",0.4087,0.0016,40,10,9.7,"[-0.9106, 6.823]"
three_hump_camel_function,400,"[-0.2749, 0.5834]",0.3252,0.004,20,40,7.7,"[-2.169, 1.479]"
three_hump_camel_function,700,"[-0.1367, -0.306]",0.1725,0.003,10,70,8.8,"[-3.5262, 9.7493]"
three_hump_camel_function,100,"[-0.4409, 0.2176]",0.3018,0.0,10,10,9.6,"[-4.3335, 2.6095]"
three_hump_camel_function,400,"[0.1962, -0.1131]",0.066,0.0052,40,40,6.2,"[-8.8683, 9.7312]"
three_hump_camel_function,300,"[-0.0552, 0.0863]",0.0088,0.003,20,30,2.4,"[-8.3626, 1.5305]"
three_hump_camel_function,600,"[0.0615, 0.0317]",0.0105,0.004,20,60,2.6,"[-3.7476, 1.5134]"
three_hump_camel_function,50,"[-1.1182, 0.4142]",0.8934,0.0,10,5,8.5,"[-0.7206, 8.2742]"
three_hump_camel_function,10,"[-1.7667, 0.8657]",0.3012,0.001,50,1,2.5,"[-9.8732, 9.2106]"
three_hump_camel_function,600,"[-0.0707, 0.2272]",0.0455,0.0092,40,60,7.4,"[-6.6149, 4.7151]"
three_hump_camel_function,500,"[0.0041, -0.0613]",0.0035,0.0071,40,50,5.4,"[-3.6653, 7.2678]"
three_hump_camel_function,800,"[-0.079, 0.0309]",0.011,0.0079,30,80,9.7,"[-1.8855, 5.1747]"
three_hump_camel_function,300,"[0.0437, -0.638]",0.383,0.0023,20,30,9.2,"[-3.0183, 4.5624]"
three_hump_camel_function,200,"[-0.0265, -0.0043]",0.0015,0.0036,50,20,1.6,"[-0.9919, 9.9348]"
three_hump_camel_function,900,"[0.0206, -0.0384]",0.0015,0.0156,50,90,1.2,"[-1.9183, 0.1146]"
three_hump_camel_function,300,"[-0.1758, 0.3627]",0.1286,0.004,30,30,8.3,"[-4.7429, 2.6512]"
three_hump_camel_function,50,"[-0.8774, 1.0651]",1.1933,0.0,20,5,8.0,"[-4.242, 9.7565]"
three_hump_camel_function,100,"[0.0289, -0.0192]",0.0015,0.0022,40,10,0.5,"[-5.5698, 0.0754]"
three_hump_camel_function,600,"[0.0167, 0.0196]",0.0013,0.0105,50,60,8.8,"[-5.3681, 3.1713]"
three_hump_camel_function,600,"[-0.0743, -0.0124]",0.0121,0.0106,50,60,4.7,"[-1.4175, 9.8172]"
three_hump_camel_function,10,"[0.1322, 0.6466]",0.5382,0.0,40,1,2.2,"[-1.9001, 4.5957]"
three_hump_camel_function,400,"[-0.2399, 0.4618]",0.2141,0.002,10,40,4.1,"[-4.6941, 9.7079]"
three_hump_camel_function,500,"[0.2518, -0.0062]",0.1211,0.0071,40,50,7.2,"[-8.9964, 5.914]"
three_hump_camel_function,700,"[-0.4669, -0.1013]",0.4454,0.0025,10,70,4.5,"[-1.675, 6.0264]"
three_hump_camel_function,50,"[-0.1234, 0.042]",0.0268,0.0,20,5,3.4,"[-2.9881, 9.5168]"
three_hump_camel_function,100,"[0.1185, 0.0653]",0.0399,0.001,20,10,2.3,"[-5.7908, 8.7478]"
three_hump_camel_function,400,"[-0.1218, -0.0536]",0.0389,0.003,20,40,8.6,"[-9.3706, 0.9811]"
three_hump_camel_function,200,"[-0.0168, -0.0735]",0.0072,0.002,20,20,0.9,"[-5.7277, 0.2362]"
three_hump_camel_function,800,"[-0.1911, 0.164]",0.0672,0.003,10,80,2.6,"[-9.3319, 6.2761]"
three_hump_camel_function,300,"[0.1164, -0.3329]",0.099,0.004,30,30,10.0,"[-4.2302, 0.9521]"
three_hump_camel_function,100,"[0.1847, 0.1284]",0.1072,0.002,50,10,6.7,"[-8.2726, 2.0772]"
three_hump_camel_function,400,"[0.1983, 0.3676]",0.2851,0.004,30,40,7.5,"[-5.3294, 3.3747]"
three_hump_camel_function,100,"[0.2795, 0.4457]",0.4731,0.0016,50,10,0.1,"[-6.8557, 0.9899]"
three_hump_camel_function,50,"[1.5094, -0.2459]",0.7666,0.0011,20,5,9.3,"[-8.9383, 7.7046]"
