Function,Iterations,Best Solution,Best Fitness,Execution Time (s),Step Size,Domain
rastrigin,800,"[0.0014, 0.9106]",2.3663,0.008,5.4,"[-5.012, 0.9106]"
rastrigin,300,"[-0.0376, 0.0677]",1.1739,0.0041,1.3,"[-1.5334, 8.2702]"
rastrigin,200,"[1.016, -0.9961]",2.0779,0.002,7.9,"[-4.3556, 1.8469]"
rastrigin,300,"[-0.9295, 0.0214]",1.9197,0.003,7.2,"[-3.5845, 1.1645]"
rastrigin,10,"[5.0381, 1.7668]",37.7356,0.001,9.2,"[-7.7986, 8.3629]"
rastrigin,10,"[0.0165, 1.154]",5.7105,0.0,3.7,"[-4.9365, 9.4102]"
rastrigin,1000,"[0.0092, 0.9954]",1.0118,0.0095,7.6,"[-1.8164, 4.3141]"
rastrigin,50,"[2.0163, -4.9658]",29.0068,0.0016,0.4,"[-9.7374, 3.1598]"
rastrigin,50,"[0.022, 0.9645]",1.2734,0.001,2.2,"[-9.5586, 8.4528]"
rastrigin,900,"[-0.0739, -1.0438]",2.5285,0.009,7.6,"[-5.8239, 2.2326]"
rastrigin,10,"[2.9327, 0.842]",14.7269,0.0,1.6,"[-2.6288, 4.7951]"
rastrigin,700,"[-0.9151, -1.046]",3.7363,0.0071,7.0,"[-2.6932, 8.0993]"
rastrigin,10,"[-0.8378, 1.2632]",17.8883,0.0,5.2,"[-6.4312, 6.6257]"
rastrigin,10,"[-4.0996, 4.081]",36.6222,0.0,0.3,"[-8.0722, 6.3551]"
rastrigin,800,"[-0.0284, 0.0371]",0.4303,0.0076,1.1,"[-7.9912, 4.9123]"
rastrigin,100,"[-0.9159, -2.9412]",11.5294,0.0016,6.6,"[-6.9862, 5.4892]"
rastrigin,500,"[0.9383, -0.0374]",1.8975,0.005,7.6,"[-5.791, 7.8116]"
rastrigin,100,"[-0.0312, 0.0215]",0.2849,0.001,2.3,"[-8.9284, 2.3335]"
rastrigin,300,"[0.0962, -0.9552]",3.0884,0.0042,7.3,"[-1.6347, 8.2705]"
rastrigin,600,"[-0.8969, 0.9505]",4.2143,0.0058,8.7,"[-5.0054, 2.3751]"
rastrigin,800,"[-1.0407, -0.036]",1.6642,0.0083,9.0,"[-4.0575, 7.0592]"
rastrigin,300,"[1.0005, 1.009]",2.0352,0.0035,1.4,"[-0.6475, 9.9204]"
rastrigin,300,"[-5.043, -2.0509]",30.5076,0.0036,0.7,"[-8.5088, 1.8213]"
rastrigin,700,"[0.0135, -0.0123]",0.0659,0.0069,1.4,"[-9.5883, 7.6359]"
rastrigin,700,"[0.9732, -0.9378]",2.7231,0.0071,6.4,"[-6.7672, 5.0858]"
rastrigin,400,"[-0.9894, 0.0692]",1.9363,0.004,3.6,"[-2.6254, 9.619]"
rastrigin,100,"[0.0425, -1.9063]",5.6733,0.001,7.0,"[-6.4319, 8.9]"
rastrigin,500,"[1.0497, 0.0397]",1.8969,0.005,8.1,"[-8.9048, 1.3159]"
rastrigin,700,"[0.9275, 0.0279]",2.0344,0.007,9.7,"[-8.3603, 5.3706]"
rastrigin,100,"[1.0254, 2.9383]",10.554,0.0012,8.4,"[-6.1363, 5.7512]"
rastrigin,400,"[-1.0573, -0.9303]",3.5696,0.0043,9.2,"[-9.2428, 0.7114]"
rastrigin,500,"[0.0675, 0.8792]",4.4105,0.005,7.7,"[-6.5638, 5.9335]"
rastrigin,800,"[0.0021, 0.0044]",0.0048,0.0076,1.3,"[-0.0977, 0.0044]"
rastrigin,300,"[-0.0044, -1.0687]",2.0627,0.004,3.6,"[-1.0687, 8.2762]"
rastrigin,1000,"[0.002, -0.0516]",0.5243,0.0096,9.4,"[-0.0516, 1.9418]"
rastrigin,200,"[0.8779, -1.0592]",5.3794,0.002,9.4,"[-3.2986, 1.9336]"
rastrigin,50,"[0.0302, 1.9944]",4.1644,0.0,5.2,"[-6.2003, 5.0741]"
rastrigin,100,"[0.9027, -0.0404]",2.9481,0.001,5.2,"[-3.7744, 0.9027]"
rastrigin,700,"[0.9846, -0.0315]",1.2123,0.0064,3.0,"[-8.162, 4.2175]"
rastrigin,1000,"[0.0382, 0.9842]",1.3061,0.0099,4.3,"[-7.7343, 2.185]"
rastrigin,300,"[-0.0587, 0.0449]",1.0746,0.004,3.3,"[-7.9904, 7.8075]"
rastrigin,400,"[0.9864, 0.0095]",1.0273,0.0041,0.5,"[-3.3509, 3.3578]"
rastrigin,900,"[0.102, -0.0884]",3.5036,0.009,5.0,"[-4.268, 1.2381]"
rastrigin,600,"[-2.9956, -8.9852]",89.754,0.0058,0.5,"[-9.9934, 0.6454]"
rastrigin,500,"[0.0164, -1.0309]",1.3041,0.006,8.3,"[-4.5094, 4.9348]"
rastrigin,400,"[0.013, 0.9977]",1.03,0.006,8.8,"[-9.0505, 0.9977]"
rastrigin,900,"[1.058, -0.1663]",6.7825,0.0088,8.6,"[-0.4173, 9.6698]"
rastrigin,1000,"[-1.0122, -0.9651]",2.2253,0.0096,9.3,"[-9.6629, 5.7383]"
rastrigin,900,"[-1.0483, 0.0308]",1.744,0.0088,5.2,"[-3.9455, 2.9724]"
rastrigin,800,"[-1.0068, 0.911]",3.3769,0.0079,5.3,"[-5.7364, 8.3976]"
rastrigin,1000,"[0.0323, 0.019]",0.2771,0.0096,1.7,"[-2.1617, 1.4697]"
rastrigin,700,"[-0.0463, -0.0317]",0.6221,0.0065,3.4,"[-4.2741, 1.5867]"
rastrigin,1000,"[-1.0372, 0.0635]",2.1364,0.0097,4.8,"[-9.7783, 3.0418]"
rastrigin,300,"[-1.0136, -1.0871]",3.7075,0.003,2.0,"[-8.4252, 5.0323]"
rastrigin,900,"[-0.039, 0.9974]",1.2961,0.0087,4.7,"[-2.5538, 6.2496]"
rastrigin,900,"[1.9879, 0.9876]",4.9864,0.0089,0.3,"[-3.4675, 9.8957]"
rastrigin,300,"[0.0656, -1.9505]",5.1257,0.003,1.6,"[-8.2458, 8.0066]"
rastrigin,100,"[1.0283, 0.9192]",3.3217,0.001,2.5,"[-4.7565, 4.9726]"
rastrigin,700,"[1.0158, 0.0222]",1.1788,0.0068,5.4,"[-8.5427, 1.2892]"
rastrigin,50,"[-3.0789, 0.0475]",11.1286,0.0006,5.8,"[-3.7494, 1.4288]"
rastrigin,200,"[0.0356, 0.9836]",1.2708,0.001,9.7,"[-3.4166, 8.6068]"
rastrigin,500,"[0.007, -0.0534]",0.5707,0.0048,2.0,"[-3.3706, 1.0171]"
rastrigin,600,"[1.0042, 0.9028]",3.6356,0.0059,6.3,"[-6.987, 2.7913]"
rastrigin,600,"[0.0381, 0.9562]",1.5779,0.006,9.5,"[-9.2255, 2.6656]"
rastrigin,500,"[0.0723, -1.0371]",2.3654,0.0048,4.8,"[-4.5992, 9.5933]"
rastrigin,1000,"[0.016, -0.0444]",0.4389,0.0097,2.8,"[-1.5172, 6.0947]"
rastrigin,200,"[-0.9871, -0.8497]",5.8651,0.001,8.9,"[-1.7216, 2.1707]"
rastrigin,500,"[-1.045, -0.072]",2.5013,0.005,7.0,"[-6.2362, 7.4283]"
rastrigin,1000,"[0.9874, -0.9982]",2.0034,0.0099,5.4,"[-3.8872, 9.4251]"
rastrigin,800,"[0.0486, 0.0523]",1.0027,0.0078,1.8,"[-6.9588, 8.4949]"
rastrigin,700,"[-1.079, -1.1121]",5.9856,0.007,8.5,"[-2.6982, 3.6608]"
rastrigin,100,"[2.9989, 1.7729]",20.703,0.001,8.9,"[-6.9923, 9.944]"
rastrigin,300,"[-0.1143, -1.0027]",3.4882,0.0027,7.1,"[-2.9073, 5.9666]"
rastrigin,500,"[0.0411, 0.0358]",0.5867,0.0045,3.4,"[-9.1027, 4.0792]"
rastrigin,200,"[0.0404, 0.0001]",0.3219,0.0016,1.2,"[-6.6072, 0.0404]"
rastrigin,500,"[0.0496, -0.8737]",4.2351,0.005,5.1,"[-5.8166, 1.3225]"
rastrigin,700,"[-2.9869, -3.9944]",24.9166,0.007,0.7,"[-7.7442, 3.1901]"
rastrigin,400,"[-0.0501, 0.009]",0.5101,0.0044,1.8,"[-9.7751, 6.2306]"
rastrigin,800,"[-0.044, -0.9241]",2.352,0.008,10.0,"[-3.1934, 4.5666]"
rastrigin,500,"[-0.0116, -1.104]",3.3058,0.005,6.8,"[-1.104, 4.8354]"
rastrigin,10,"[-0.7877, 1.8937]",14.0087,0.0,1.0,"[-1.1013, 9.9355]"
rastrigin,600,"[-0.1055, 1.0742]",4.3502,0.0049,9.9,"[-3.0673, 9.4986]"
rastrigin,900,"[0.977, 0.0103]",1.0798,0.0086,0.8,"[-2.0803, 1.9347]"
rastrigin,1000,"[-0.0676, 0.1157]",3.4373,0.0096,7.0,"[-5.6555, 6.8776]"
rastrigin,200,"[2.0053, -0.001]",4.0268,0.0016,3.1,"[-2.2954, 2.0053]"
rastrigin,100,"[-1.1257, -0.8057]",11.4522,0.001,8.0,"[-8.323, 3.6363]"
rastrigin,1000,"[-0.0006, 0.0146]",0.0424,0.0102,1.4,"[-2.5898, 8.6586]"
rastrigin,400,"[-0.1059, 0.0188]",2.2129,0.0041,1.7,"[-6.2899, 8.8793]"
rastrigin,100,"[-2.0674, 4.0193]",21.3844,0.001,0.9,"[-3.4447, 4.8444]"
rastrigin,800,"[-2.9834, 1.9941]",12.9383,0.0079,0.2,"[-5.0803, 7.0489]"
rastrigin,300,"[-0.8836, -1.0929]",6.1891,0.003,6.5,"[-7.4343, 7.8709]"
rastrigin,700,"[-0.0034, -0.0945]",1.7219,0.006,2.9,"[-0.4231, 7.3408]"
rastrigin,400,"[1.8543, -2.0449]",11.9188,0.004,9.7,"[-7.8675, 8.351]"
rastrigin,100,"[0.026, -1.1929]",8.0448,0.001,8.3,"[-8.6063, 1.2023]"
rastrigin,10,"[1.0513, 3.0548]",11.5392,0.0,2.3,"[-6.0093, 6.455]"
rastrigin,1000,"[-0.0478, 0.9444]",1.9455,0.0098,5.2,"[-3.8977, 1.1697]"
rastrigin,50,"[0.0582, 1.7706]",12.5078,0.001,3.4,"[-7.1972, 1.7706]"
rastrigin,1000,"[0.0034, -0.8882]",3.158,0.0098,7.6,"[-0.8882, 8.0351]"
rastrigin,700,"[0.9898, 1.0305]",2.245,0.0069,4.6,"[-5.7461, 8.7468]"
rastrigin,100,"[-0.8163, -0.8163]",13.2398,0.001,7.8,"[-0.8163, 0.478]"
rastrigin,700,"[-0.0172, -0.0323]",0.2652,0.0067,3.2,"[-6.2892, 4.8579]"
rastrigin,200,"[0.0489, 0.0133]",0.5064,0.002,8.2,"[-2.0593, 3.1162]"
rastrigin,600,"[0.1577, -0.0747]",5.6305,0.0066,10.0,"[-7.5707, 4.5864]"
rastrigin,700,"[-0.0486, -0.0095]",0.4826,0.0073,3.6,"[-2.6518, 9.5998]"
rastrigin,700,"[1.0484, 1.0405]",2.9615,0.0077,7.9,"[-7.3472, 5.1567]"
rastrigin,50,"[-1.9531, 2.1922]",15.4968,0.0,2.1,"[-2.7443, 5.4658]"
rastrigin,300,"[0.9512, 0.8783]",4.9285,0.003,9.3,"[-9.1957, 2.4664]"
rastrigin,700,"[1.0371, -0.1399]",4.9866,0.0069,8.6,"[-3.7763, 5.52]"
rastrigin,1000,"[0.0097, 0.0317]",0.2168,0.0096,1.9,"[-4.6677, 3.297]"
rastrigin,50,"[1.9697, 2.9149]",13.9536,0.0,1.0,"[-0.8958, 8.6367]"
rastrigin,10,"[0.9589, -0.9103]",3.6252,0.0,1.6,"[-8.0616, 7.6685]"
rastrigin,700,"[1.9859, -2.9839]",12.9378,0.0065,0.2,"[-5.0128, 3.2367]"
rastrigin,50,"[-2.1168, -0.0401]",7.3703,0.001,5.5,"[-2.1168, 4.3462]"
rastrigin,100,"[1.1388, 1.9009]",10.3564,0.001,6.1,"[-7.3268, 4.7258]"
rastrigin,200,"[-0.0475, -0.0873]",1.9197,0.0023,2.9,"[-8.9572, 1.6556]"
rastrigin,900,"[-0.9926, -0.1312]",4.2218,0.0097,9.8,"[-6.9526, 3.9362]"
rastrigin,800,"[-1.9865, -1.0]",4.9822,0.0085,6.6,"[-3.2625, 0.706]"
rastrigin,300,"[1.0587, 0.076]",2.9181,0.0034,3.8,"[-2.6521, 9.7971]"
rastrigin,400,"[6.9597, -3.9765]",64.6775,0.004,0.1,"[-6.5668, 8.9552]"
rastrigin,1000,"[0.9502, 0.9397]",2.9809,0.0089,7.2,"[-4.4449, 9.8199]"
rastrigin,200,"[-0.9382, -0.8728]",5.4121,0.002,2.7,"[-3.0942, 0.3583]"
rastrigin,200,"[-0.0531, 0.0053]",0.5594,0.0021,3.0,"[-9.4142, 1.4099]"
rastrigin,400,"[0.0321, -0.0451]",0.6041,0.004,1.7,"[-4.1535, 3.7654]"
rastrigin,600,"[-0.0107, -0.0285]",0.1832,0.0066,5.0,"[-6.2641, 7.7254]"
rastrigin,1000,"[-0.0369, 0.0735]",1.3218,0.0096,6.0,"[-1.6133, 5.6058]"
rastrigin,400,"[-0.0421, 0.039]",0.6497,0.004,1.7,"[-6.7764, 8.7387]"
rastrigin,600,"[0.0016, -1.9938]",3.9833,0.006,0.1,"[-3.2001, 6.5389]"
rastrigin,700,"[-0.0414, -0.9442]",1.8381,0.0069,3.1,"[-2.2862, 4.768]"
rastrigin,1000,"[1.9712, -0.0038]",4.0521,0.0095,5.9,"[-6.5761, 8.0815]"
rastrigin,300,"[1.0012, 0.9488]",2.4153,0.0027,1.0,"[-0.4046, 2.2452]"
rastrigin,50,"[2.0877, -2.1428]",14.19,0.0,2.7,"[-4.5314, 6.7093]"
rastrigin,700,"[-0.9853, 0.0107]",1.0364,0.0069,2.1,"[-8.1698, 7.5096]"
rastrigin,600,"[0.0709, -0.9355]",2.6656,0.0061,9.8,"[-6.9932, 9.2519]"
rastrigin,200,"[-2.0556, 1.0107]",5.8732,0.002,8.5,"[-4.7852, 2.7622]"
rastrigin,300,"[0.9701, -0.0145]",1.1585,0.003,3.1,"[-1.2498, 6.4048]"
rastrigin,900,"[-0.0367, -0.0547]",0.8544,0.0087,2.1,"[-1.5053, 8.5873]"
rastrigin,700,"[-0.9718, 0.048]",1.554,0.0067,8.7,"[-9.3779, 6.1432]"
rastrigin,10,"[-1.9351, 3.1507]",18.6519,0.0,5.8,"[-3.5662, 3.1507]"
rastrigin,900,"[-0.018, 0.0172]",0.1231,0.0085,1.2,"[-0.7676, 6.3864]"
rastrigin,50,"[0.9664, 0.9437]",2.6652,0.001,2.8,"[-2.86, 1.5573]"
rastrigin,700,"[1.0039, -2.0025]",5.0222,0.0066,4.1,"[-3.1967, 4.726]"
rastrigin,600,"[0.085, -0.0476]",1.8462,0.0055,3.5,"[-1.9909, 2.5677]"
rastrigin,400,"[1.0258, 0.9037]",3.7749,0.0037,3.5,"[-0.7839, 4.8339]"
rastrigin,900,"[-0.0013, -0.0414]",0.3378,0.0101,4.3,"[-2.722, 7.8005]"
rastrigin,500,"[-2.001, 3.9829]",19.9252,0.005,0.2,"[-2.8787, 4.2681]"
rastrigin,10,"[0.4036, -1.7778]",29.8073,0.0,7.5,"[-9.9932, 0.4036]"
rastrigin,10,"[-0.9577, -1.1606]",7.2917,0.0,8.7,"[-2.1107, 0.7664]"
rastrigin,600,"[0.005, -0.0655]",0.8451,0.0056,3.9,"[-1.5718, 0.5493]"
rastrigin,100,"[0.0216, 0.0575]",0.7407,0.001,9.0,"[-9.3723, 1.7382]"
rastrigin,800,"[0.0366, 1.0002]",1.2649,0.0086,0.9,"[-4.7528, 6.0521]"
rastrigin,600,"[0.0024, -0.0004]",0.0011,0.0056,6.1,"[-1.4364, 3.0084]"
rastrigin,500,"[-0.079, -0.0462]",1.6332,0.0052,2.6,"[-5.8164, 7.6208]"
rastrigin,200,"[-0.0047, 0.9787]",1.0517,0.002,5.0,"[-7.0533, 3.898]"
rastrigin,10,"[2.1766, 1.753]",23.1687,0.0,4.6,"[-1.4129, 3.6155]"
rastrigin,200,"[-0.1607, 0.0964]",6.4916,0.001,4.0,"[-2.4159, 5.635]"
rastrigin,300,"[-0.0035, -6.9239]",49.064,0.003,0.6,"[-9.1781, 2.6332]"
rastrigin,10,"[0.5971, 2.4077]",42.7139,0.0,9.8,"[-8.4923, 9.588]"
rastrigin,900,"[-0.0303, -0.1332]",3.5001,0.0086,5.4,"[-1.8447, 4.9543]"
rastrigin,900,"[-0.0307, 0.9905]",1.1857,0.0082,4.2,"[-4.5594, 7.7125]"
rastrigin,600,"[-0.0978, 0.096]",3.6113,0.005,6.9,"[-7.4652, 4.569]"
rastrigin,800,"[0.8772, 0.0069]",3.6121,0.0085,5.7,"[-3.0064, 1.3059]"
rastrigin,700,"[-0.0326, 1.1119]",3.8153,0.0075,5.0,"[-2.4324, 5.8049]"
rastrigin,10,"[-1.606, 0.0357]",20.6952,0.0,4.8,"[-3.4672, 2.4782]"
rastrigin,100,"[0.1784, 0.1969]",12.4516,0.001,5.0,"[-0.698, 6.5421]"
rastrigin,300,"[-4.9847, -2.9538]",34.0372,0.002,0.7,"[-7.8786, 2.6057]"
rastrigin,700,"[-0.094, 0.9936]",2.6979,0.0077,4.1,"[-1.8032, 7.5184]"
rastrigin,1000,"[0.015, -0.98]",1.0841,0.0096,4.0,"[-7.0848, 4.7601]"
rastrigin,200,"[-1.8115, -1.0167]",10.6032,0.0022,8.4,"[-6.9658, 6.2913]"
rastrigin,10,"[-0.0118, -0.0118]",0.0552,0.001,9.3,"[-0.0118, 3.662]"
rastrigin,900,"[0.0014, 1.0119]",1.052,0.0096,4.9,"[-3.7849, 9.3456]"
rastrigin,100,"[-1.0572, -0.0389]",2.056,0.001,4.8,"[-7.2368, 8.0251]"
rastrigin,10,"[1.4096, -0.8541]",25.0613,0.0,9.2,"[-7.7462, 1.4096]"
rastrigin,200,"[-0.0828, 1.9959]",5.3169,0.0016,10.0,"[-5.7552, 5.2279]"
rastrigin,300,"[1.1461, 0.03]",5.4159,0.002,7.0,"[-7.5278, 1.4494]"
rastrigin,1000,"[-0.0232, -0.9797]",1.1476,0.0096,3.6,"[-8.3224, 7.3766]"
rastrigin,100,"[0.0192, 0.9727]",1.1659,0.001,9.6,"[-2.3514, 0.9727]"
rastrigin,700,"[0.1163, -1.0338]",3.8615,0.006,6.0,"[-9.0032, 5.7075]"
rastrigin,50,"[0.1628, 0.1028]",6.8421,0.001,9.7,"[-5.3452, 0.6907]"
rastrigin,50,"[1.758, -0.9278]",14.4577,0.0,7.6,"[-7.1778, 7.5115]"
rastrigin,800,"[0.0004, 0.9766]",1.0619,0.0076,5.9,"[-0.7068, 0.9766]"
rastrigin,800,"[-1.973, 4.9706]",28.9131,0.0085,0.5,"[-8.8131, 6.8109]"
rastrigin,1000,"[1.0236, -0.9304]",2.9641,0.0098,3.7,"[-6.6578, 6.2033]"
rastrigin,900,"[0.0148, -0.0333]",0.2621,0.0087,1.4,"[-4.373, 8.2972]"
rastrigin,50,"[0.0545, 0.0545]",1.1692,0.001,8.0,"[-8.6385, 0.0545]"
rastrigin,100,"[1.1554, -0.89]",8.8193,0.0,5.6,"[-5.1246, 1.6397]"
rastrigin,100,"[0.9341, -0.0244]",1.8345,0.001,2.6,"[-3.4743, 1.108]"
rastrigin,300,"[1.9705, -0.0271]",4.1996,0.0037,8.5,"[-1.751, 5.5083]"
rastrigin,800,"[-0.1013, -0.0252]",2.0934,0.0076,3.3,"[-4.8586, 5.9861]"
rastrigin,10,"[-3.9124, -1.112]",20.3956,0.0,1.8,"[-8.4054, 0.6391]"
rastrigin,300,"[-0.9998, -1.0067]",2.022,0.003,2.1,"[-5.3074, 3.3526]"
rastrigin,800,"[-2.0152, 1.0138]",5.1725,0.0076,9.0,"[-9.1797, 7.6402]"
rastrigin,50,"[0.9538, -0.0401]",1.6452,0.0012,7.7,"[-3.0551, 2.9865]"
rastrigin,50,"[-1.0368, 5.9549]",37.1998,0.001,0.7,"[-2.3531, 6.348]"
rastrigin,10,"[-2.8389, 0.1328]",16.0629,0.0,5.5,"[-5.9508, 9.0241]"
rastrigin,10,"[2.04, 1.439]",25.8207,0.0,6.5,"[-1.3564, 6.8192]"
rastrigin,100,"[-1.0821, 0.0686]",3.3936,0.0016,2.3,"[-9.3434, 0.6659]"
rastrigin,400,"[0.974, -0.9841]",2.0997,0.0039,3.4,"[-8.532, 3.7586]"
rastrigin,400,"[0.9334, -0.0298]",1.9094,0.0046,2.6,"[-4.8761, 9.0006]"
rastrigin,500,"[-0.0267, 1.0068]",1.1633,0.005,2.1,"[-9.1283, 4.9815]"
rastrigin,600,"[0.8876, 1.0419]",4.6107,0.0067,4.9,"[-5.8742, 5.8788]"
himmelblau_function,1000,"[-2.6309, 3.0766]",1.0306,0.0076,4.7,"[-3.8595, 4.6068]"
himmelblau_function,900,"[3.5771, -1.8699]",0.0109,0.0056,8.5,"[-2.3856, 7.5347]"
himmelblau_function,600,"[-3.9932, -2.8479]",12.7107,0.0045,9.0,"[-8.1819, 1.3037]"
himmelblau_function,600,"[-2.9795, 3.2183]",1.3436,0.0045,10.0,"[-6.2899, 7.6693]"
himmelblau_function,300,"[-2.7515, 3.078]",0.2,0.003,1.0,"[-4.2019, 5.4959]"
himmelblau_function,200,"[3.0063, 1.9937]",0.0014,0.002,0.4,"[-2.3364, 5.5497]"
himmelblau_function,800,"[-3.8204, -3.2206]",0.3414,0.0056,3.2,"[-9.3442, 0.1647]"
himmelblau_function,500,"[-3.6722, -3.1644]",0.895,0.003,2.0,"[-9.988, 1.4482]"
himmelblau_function,200,"[0.7325, -1.5327]",159.2615,0.0015,0.4,"[-4.1238, 0.7325]"
himmelblau_function,400,"[3.5881, -1.9693]",0.2262,0.0025,6.8,"[-9.1958, 9.0515]"
himmelblau_function,100,"[2.9896, 2.0315]",0.0145,0.0011,0.6,"[-9.0136, 5.4827]"
himmelblau_function,500,"[-3.8734, -3.1802]",1.2543,0.004,4.8,"[-9.3994, 2.2869]"
himmelblau_function,900,"[3.0953, 2.1604]",1.1314,0.006,7.4,"[-2.9055, 7.3131]"
himmelblau_function,100,"[3.0335, 1.62]",1.8329,0.001,3.8,"[-5.7399, 4.6724]"
himmelblau_function,900,"[-3.9946, -3.4392]",2.9978,0.0067,5.9,"[-7.5276, 7.727]"
himmelblau_function,800,"[3.5986, -1.8959]",0.0403,0.0055,5.6,"[-4.1677, 7.5857]"
himmelblau_function,200,"[3.5984, -2.1502]",1.533,0.001,4.8,"[-6.4313, 8.9176]"
himmelblau_function,100,"[-3.657, -3.3477]",1.2525,0.001,7.0,"[-8.5997, 2.5552]"
himmelblau_function,200,"[3.5629, -1.6674]",0.4324,0.001,8.1,"[-3.6348, 4.4398]"
himmelblau_function,200,"[-3.8959, -3.4389]",1.4116,0.001,10.0,"[-9.984, 1.6096]"
